created_date,pick_city_name,bad_weather_order,A1,total_submitted,total_delivered,cancelled_quit,cnd,incharge_period,completion_time,peak3,stack,30 days from created_date,A30,%peak3,%stack,%cnd,%g2n,%bw,cancel_by_mex_users
2022-05-24,Dong Nai,0,668,8742,7938,804,179,0.6599570318955544,22.539833563912296,0,1614,2022-04-24,1342.0,0.0,0.18462594371997254,0.020475863646762755,0.9080301990391215,0.0,625
2022-05-24,Hai Phong City,4047,388,5221,4057,1164,634,1.949036360799001,28.77319232661092,1272,1469,2022-04-24,1005.0,0.2436314882206474,0.2813637234246313,0.12143267573261828,0.7770542041754454,0.7751388622869182,530
2022-05-24,Hue City,0,408,5858,5396,462,34,0.3124899821219407,17.660149355057705,27,220,2022-04-24,884.0,0.004609081597814954,0.037555479685899625,0.005804028678729942,0.9211334926596108,0.0,428
2022-05-24,Vung Tau,210,172,3110,2752,358,122,0.5388170498084291,17.061615245009076,64,130,2022-04-24,320.0,0.020578778135048232,0.04180064308681672,0.03922829581993569,0.884887459807074,0.06752411575562701,236
2022-05-25,Binh Duong,0,494,6057,5079,978,570,1.4656114511604181,23.436380597014924,892,477,2022-04-25,1470.0,0.14726762423642067,0.0787518573551263,0.0941059930658742,0.8385339276869738,0.0,408
2022-05-25,Can Tho City,0,561,6977,6225,752,358,0.8166509779311787,22.45975453232793,787,80,2022-04-25,1075.0,0.11279919736276336,0.011466246237637954,0.05131145191342984,0.8922172853662033,0.0,394
2022-05-25,Dong Nai,0,634,9316,7659,1657,943,1.8155402010050252,26.701536858556914,2196,1528,2022-04-25,1346.0,0.23572348647488192,0.16401889222842422,0.10122370115929584,0.8221339630742808,0.0,714
2022-05-25,Hai Phong City,925,419,5128,3975,1153,615,2.523311986084756,30.710393188079138,1214,1217,2022-04-25,1014.0,0.23673946957878314,0.2373244929797192,0.11992979719188768,0.7751560062402496,0.18038221528861154,538
2022-05-25,Hue City,0,439,6193,5302,891,399,0.8553287572254334,20.285493594574227,844,187,2022-04-25,882.0,0.1362829000484418,0.03019538188277087,0.06442757952527046,0.8561278863232682,0.0,492
2022-05-25,Vung Tau,0,172,3179,2742,437,194,1.0872019635343617,19.289479432107754,469,98,2022-04-25,317.0,0.1475306700220195,0.030827304183705568,0.061025479710600815,0.8625353884869456,0.0,243
2022-05-26,Binh Duong,243,489,6143,5294,849,412,0.8210500520737609,21.121598639455783,353,693,2022-04-26,1483.0,0.057463779912095066,0.11281132996907049,0.06706820771609963,0.8617939117694937,0.0395572195995442,437
2022-05-26,Can Tho City,0,553,6864,6476,388,16,0.2105966611186765,19.96067788758493,0,183,2022-04-26,1077.0,0.0,0.02666083916083916,0.002331002331002331,0.9434731934731935,0.0,372
2022-05-26,Dong Nai,252,632,8871,7856,1015,347,0.8099171360927422,23.050995467446096,243,1697,2022-04-26,1350.0,0.027392627663172135,0.1912974861909593,0.039116221395558565,0.8855822342464209,0.028407169428474807,668
